index,Bz_GSE,Sigma_Bz_GSE,Proton_density,Plasma_speed,Dst_index
1963-12-27 22:00:00,-0.001986097318768616,0.07278195488721804,0.20985584981562186,0.21398010206711685,0.024615384615384615
1963-12-27 23:00:00,-0.006123800066203242,0.07488721804511278,0.2065035199463627,0.22057838032888294,0.024615384615384615
1963-12-28 00:00:00,-0.010261502813637864,0.07699248120300752,0.20315119007710358,0.227176658590649,0.027692307692307693
1963-12-28 01:00:00,-0.01439920556107249,0.07909774436090224,0.19979886020784446,0.23377493685241504,0.015384615384615385
1963-12-28 02:00:00,-0.018536908308507117,0.08120300751879699,0.19644653033858533,0.24037321511418117,0.012307692307692308
1963-12-28 03:00:00,-0.02267461105594174,0.08330827067669172,0.19309420046932618,0.24697149337594723,0.012307692307692308
1963-12-28 04:00:00,-0.026812313803376363,0.08541353383458647,0.18974187060006706,0.25356977163771327,0.015384615384615385
1963-12-28 05:00:00,-0.030950016550810987,0.08751879699248119,0.18638954073080788,0.2601680498994794,0.024615384615384615
1963-12-28 06:00:00,-0.03508771929824561,0.08962406015037594,0.1830372108615488,0.26676632816124546,0.024615384615384615
1963-12-28 07:00:00,-0.03922542204568024,0.09172932330827067,0.17968488099228963,0.2733646064230115,0.024615384615384615
1963-12-28 08:00:00,-0.04336312479311486,0.09383458646616538,0.1763325511230305,0.2799628846847776,0.033846153846153845
1963-12-28 09:00:00,-0.04750082754054948,0.09593984962406013,0.17298022125377135,0.2865611629465436,0.024615384615384615
1963-12-28 10:00:00,-0.05163853028798411,0.09804511278195488,0.16962789138451223,0.2931594412083097,0.024615384615384615
1963-12-28 11:00:00,-0.05577623303541873,0.10015037593984961,0.1662755615152531,0.2997577194700758,0.018461538461538463
1963-12-28 12:00:00,-0.05991393578285335,0.10225563909774435,0.16292323164599398,0.30635599773184186,0.012307692307692308
1963-12-28 13:00:00,-0.06405163853028797,0.10436090225563908,0.15957090177673483,0.31295427599360787,0.0
1963-12-28 14:00:00,-0.0681893412777226,0.10646616541353382,0.1562185719074757,0.319552554255374,0.0
1963-12-28 15:00:00,-0.07232704402515723,0.10857142857142857,0.15286624203821655,0.32615083251714005,0.003076923076923077
1963-12-28 16:00:00,-0.025157232704402517,0.05714285714285714,0.15286624203821655,0.32615083251714005,0.0
1963-12-28 17:00:00,-0.07547169811320754,0.07428571428571429,0.15286624203821655,0.32615083251714005,-0.003076923076923077
1963-12-28 18:00:00,-0.0440251572327044,0.06285714285714286,0.1464968152866242,0.3604309500489716,-0.003076923076923077
1963-12-28 19:00:00,-0.07232704402515723,0.08,0.1464968152866242,0.3604309500489716,-0.006153846153846154
1963-12-28 20:00:00,0.006289308176100629,0.05142857142857143,0.1464968152866242,0.3604309500489716,-0.015384615384615385
1963-12-28 21:00:00,0.031446540880503145,0.08571428571428572,0.20382165605095542,0.3574926542605289,0.0
1963-12-28 22:00:00,0.14150943396226415,0.18285714285714286,0.20382165605095542,0.3574926542605289,0.006153846153846154
1963-12-28 23:00:00,0.32389937106918243,0.09714285714285714,0.20382165605095542,0.3574926542605289,0.021538461538461538
1963-12-29 00:00:00,0.012578616352201259,0.21142857142857144,0.21019108280254778,0.3476983349657199,0.021538461538461538
1963-12-29 01:00:00,0.03773584905660377,0.2,0.21019108280254778,0.3476983349657199,0.009230769230769232
1963-12-29 02:00:00,0.031446540880503145,0.16,0.21019108280254778,0.3476983349657199,0.018461538461538463
1963-12-29 03:00:00,0.06918238993710692,0.12000000000000001,0.2229299363057325,0.3428011753183154,0.027692307692307693
1963-12-29 04:00:00,0.0440251572327044,0.11428571428571428,0.2229299363057325,0.3428011753183154,0.024615384615384615
1963-12-29 05:00:00,0.1289308176100629,0.19428571428571428,0.2229299363057325,0.3428011753183154,0.03076923076923077
1963-12-29 06:00:00,0.07232704402515723,0.24000000000000002,0.1910828025477707,0.3428011753183154,0.021538461538461538
1963-12-29 07:00:00,0.0849056603773585,0.1542857142857143,0.1910828025477707,0.3428011753183154,0.009230769230769232
1963-12-29 08:00:00,0.19182389937106917,0.38857142857142857,0.1910828025477707,0.3428011753183154,0.021538461538461538
1963-12-29 09:00:00,0.0220125786163522,0.21142857142857144,0.17197452229299362,0.3476983349657199,0.03076923076923077
1963-12-29 10:00:00,-0.18553459119496857,0.12571428571428572,0.17197452229299362,0.3476983349657199,0.018461538461538463
1963-12-29 11:00:00,-0.2578616352201258,0.09142857142857143,0.17197452229299362,0.3476983349657199,-0.052307692307692305
1963-12-29 12:00:00,-0.2358490566037736,0.12000000000000001,0.08917197452229299,0.41625857002938293,-0.11692307692307692
1963-12-29 13:00:00,-0.1949685534591195,0.08,0.08917197452229299,0.41625857002938293,-0.12307692307692308
1963-12-29 14:00:00,-0.17295597484276728,0.11428571428571428,0.08917197452229299,0.41625857002938293,-0.11692307692307692
1963-12-29 15:00:00,-0.09433962264150943,0.12571428571428572,0.11464968152866242,0.4240940254652302,-0.11384615384615385
1963-12-29 16:00:00,-0.11949685534591194,0.12000000000000001,0.11464968152866242,0.4240940254652302,-0.08923076923076922
1963-12-29 17:00:00,-0.06289308176100629,0.06285714285714286,0.11464968152866242,0.4240940254652302,-0.09230769230769231
1963-12-29 18:00:00,-0.0440251572327044,0.09142857142857143,0.1337579617834395,0.4407443682664055,-0.09230769230769231
1963-12-29 19:00:00,0.02830188679245283,0.07428571428571429,0.1337579617834395,0.4407443682664055,-0.06461538461538462
1963-12-29 20:00:00,0.0,0.13142857142857142,0.1337579617834395,0.4407443682664055,-0.055384615384615386
